"sociedad","1","1","0","0","0","0"
"betis","0","1","0","0","0","0"
"villarreal","1","0","0","0","0","0"
"valladolid","0","0","16","11","4","12"
"malaga","1","0","18","19","19","17"
"madrid","0","0","20","3","2","2"
"valencia","0","0","20","1","1","3"
"celta","1","0","20","16","14","12"
"racing","0","2","20","8","5","11"
"zaragoza","1","0","20","17","16","12"
"athletic","0","0","20","8","6","9"
"sevilla","1","2","20","10","14","9"
"albacete","0","0","20","18","18","17"
"osasuna","1","0","20","6","6","6"
"atletico","0","0","20","5","4","7"
"barcelona","1","0","20","11","8","5"
"deportivo","0","0","20","3","3","3"
"mallorca","1","2","20","11","10","6"
"murcia","0","2","20","19","19","19"
"sociedad","0","0","19","15","17","18"
"betis","1","0","19","15","14","16"
"villarreal","0","2","19","5","6","5"
"valladolid","1","2","19","12","10","11"
"malaga","0","0","19","15","14","14"
"madrid","1","0","19","1","1","1"
"valencia","1","2","19","2","2","2"
"celta","0","2","19","18","16","16"
"racing","1","0","19","12","12","11"
"zaragoza","0","1","19","15","15","14"
"athletic","1","2","19","5","5","5"
"sevilla","0","0","18","11","10","9"
"albacete","1","1","18","16","15","15"
"osasuna","0","2","18","5","6","6"
"atletico","1","2","18","7","7","5"
"barcelona","0","0","18","3","3","4"
"deportivo","1","2","18","4","4","4"
"mallorca","0","0","17","12","14","16"
"murcia","1","2","17","20","20","20"
"deportivo","1","1","0","0","0","0"
"betis","0","2","0","0","0","0"
"madrid","1","2","0","0","0","0"
"getafe","0","0","1","20","18","18"
"malaga","1","2","4","7","12","16"
"albacete","0","0","3","20","20","19"
"barcelona","1","0","5","1","2","2"
"levante","0","2","10","5","7","10"
"villarreal","1","1","4","12","13","12"
"sociedad","0","2","7","14","15","17"
"racing","1","2","5","10","15","17"
"sevilla","0","0","3","6","4","2"
"atletico","1","2","4","6","8","8"
"zaragoza","0","2","3","11","9","5"
"mallorca","1","2","3","18","20","19"
"numancia","0","0","3","20","20","19"
"valencia","0","0","3","4","4","4"
"osasuna","1","2","5","7","8","9"
"athletic","0","1","4","9","9","11"
"deportivo","0","0","4","12","12","13"
"betis","1","1","5","6","6","6"
"madrid","0","0","4","2","2","2"
"getafe","1","2","7","13","14","14"
"malaga","0","0","6","16","17","17"
"albacete","1","2","7","18","17","16"
"barcelona","0","1","6","1","1","1"
"levante","1","2","6","15","14","16"
"villarreal","0","0","3","4","4","7"
"sociedad","1","1","4","13","14","12"
"racing","0","2","6","15","16","17"
"sevilla","1","0","5","6","7","6"
"atletico","0","1","6","8","8","8"
"zaragoza","1","2","6","11","11","11"
"mallorca","0","0","4","18","18","18"
"numancia","1","2","6","19","20","20"
"valencia","1","1","5","7","5","6"
"osasuna","0","1","6","15","14","13"
